id,battery_power,blue,clock_speed,dual_sim,fc,four_g,int_memory,m_dep,mobile_wt,n_cores,pc,px_height,px_width,ram,sc_h,sc_w,talk_time,three_g,touch_screen,wifi,price_range
91,1151,0,1.7,1,8,0,44,0.5,107,8,17,410,1014,1761,7,4,10,1,0,0,moyenne_gamme
94,1965,1,0.5,0,0,1,3,0.9,168,7,17,1373,1949,305,6,0,20,1,0,0,moyenne_gamme
97,1809,1,2.2,1,3,0,27,0.3,137,5,19,568,1864,700,11,10,12,1,0,0,moyenne_gamme
98,757,1,2.4,1,8,1,26,0.2,164,8,17,652,1157,2593,19,3,15,1,0,1,moyenne_gamme
99,1034,1,0.7,0,7,1,47,0.2,105,6,15,214,1463,1835,8,1,9,1,0,0,moyenne_gamme
103,1008,0,2.3,1,4,1,15,0.4,89,8,19,491,692,450,11,7,18,1,0,0,moyenne_gamme
108,1605,1,1.3,0,1,1,51,0.8,83,4,20,597,921,1310,11,9,10,1,1,1,moyenne_gamme
113,1930,1,1.6,1,5,1,64,0.3,119,4,17,325,1205,1533,5,1,6,1,0,1,moyenne_gamme
114,1795,1,0.6,1,10,0,52,0.3,140,2,16,855,910,3876,18,17,2,1,0,0,moyenne_gamme
119,1319,0,1.3,1,10,0,5,0.1,140,8,17,366,1821,3502,14,6,3,1,0,0,moyenne_gamme
120,859,1,2.7,0,5,0,58,0.4,178,1,16,1225,1358,815,10,4,2,1,0,1,moyenne_gamme
121,1664,1,2.1,0,10,0,25,0.1,147,3,11,573,856,275,9,3,11,1,1,1,moyenne_gamme
125,1348,0,0.8,0,6,1,50,0.1,123,4,11,565,1443,2086,12,8,20,1,0,0,moyenne_gamme
127,1611,0,1.7,1,5,0,25,0.6,92,5,18,949,1297,3467,9,1,8,1,1,1,moyenne_gamme
138,723,0,0.5,0,5,0,63,0.5,172,8,14,906,1801,488,5,0,8,1,0,1,moyenne_gamme
144,1466,0,2.4,1,14,1,57,0.9,155,6,18,1531,1727,2340,18,15,4,1,1,0,moyenne_gamme
146,895,1,2.5,1,10,1,9,0.5,148,7,14,1524,1691,3445,11,5,15,1,0,0,moyenne_gamme
147,1535,0,2.5,1,13,1,37,1.0,82,4,16,838,1667,3241,6,0,15,1,0,1,moyenne_gamme
155,1963,0,0.5,0,7,1,38,0.4,193,3,15,948,1406,2699,7,0,10,1,1,0,moyenne_gamme
160,1004,0,1.1,1,7,1,8,0.8,97,2,9,461,919,3895,14,13,20,1,1,0,moyenne_gamme
161,1483,1,1.2,1,10,1,38,0.1,87,5,14,321,1410,2777,17,9,16,1,1,0,moyenne_gamme
163,1081,0,3.0,0,7,1,17,0.1,89,5,17,174,1683,3774,17,15,16,1,1,0,moyenne_gamme
164,1012,0,2.8,1,6,1,32,0.9,87,3,14,1341,1997,3034,17,5,10,1,1,0,moyenne_gamme
167,1547,0,2.5,0,12,1,50,1.0,98,5,16,849,1024,1168,17,2,17,1,1,1,moyenne_gamme
169,1180,1,3.0,0,7,1,43,0.8,102,1,16,1557,1985,3510,9,5,13,1,1,1,moyenne_gamme
181,1859,0,0.7,0,8,1,42,0.1,127,2,16,1168,1612,714,19,7,16,1,0,1,moyenne_gamme
186,586,0,2.9,1,6,1,33,0.2,195,8,17,1470,1644,2817,5,2,5,1,1,1,moyenne_gamme
187,762,1,0.6,1,11,1,39,0.7,164,1,14,1065,1686,2271,12,7,8,1,1,0,moyenne_gamme
189,1526,0,0.7,1,10,0,39,0.4,125,3,20,563,1439,339,10,9,19,1,0,1,moyenne_gamme
192,1783,1,0.9,0,7,1,23,0.9,137,2,8,1114,1953,541,9,5,11,1,1,0,moyenne_gamme
193,1933,0,1.2,0,16,1,55,0.2,166,5,20,729,1248,648,10,7,13,1,1,0,moyenne_gamme
198,1629,1,2.3,0,2,1,2,0.8,86,6,19,1055,1200,2178,19,10,18,1,1,0,moyenne_gamme
199,1072,1,0.5,1,6,1,4,0.5,92,1,12,1019,1640,2878,7,5,13,1,0,1,moyenne_gamme
204,562,1,1.1,1,1,1,43,0.3,141,6,17,918,991,3352,13,12,17,1,1,0,moyenne_gamme
206,1811,0,1.2,0,18,1,25,0.8,185,6,19,1411,1443,1677,10,6,2,1,1,0,moyenne_gamme
207,560,1,2.9,1,1,1,12,1.0,161,5,19,465,1797,2620,13,0,16,1,1,1,moyenne_gamme
208,1773,1,0.5,0,14,1,61,0.1,141,7,20,847,1562,1061,17,4,15,1,0,1,moyenne_gamme
212,1300,0,0.5,0,6,1,43,0.1,156,3,12,589,1815,2790,15,4,19,1,0,0,moyenne_gamme
216,951,1,2.4,0,1,1,24,0.1,147,8,20,897,1964,3391,19,4,7,1,0,0,moyenne_gamme
222,1851,0,2.4,1,2,0,59,0.1,151,3,18,278,1198,2892,10,0,5,1,1,0,moyenne_gamme
229,790,1,2.1,1,2,1,29,0.7,106,6,11,521,1996,557,11,2,2,1,1,1,moyenne_gamme
231,739,1,3.0,0,14,0,56,0.7,103,8,20,134,1696,630,17,2,11,1,0,0,moyenne_gamme
237,989,0,0.5,0,15,0,20,0.4,153,1,16,68,947,3614,17,5,10,1,1,0,moyenne_gamme
240,1273,1,2.0,0,15,1,7,0.9,143,1,16,288,706,1743,12,7,13,1,1,0,moyenne_gamme
241,1784,0,0.5,0,8,0,28,0.3,171,4,9,1145,1680,2192,15,13,2,1,0,0,moyenne_gamme
242,1169,1,1.4,1,7,1,51,0.1,177,7,19,515,720,329,14,6,13,1,0,1,moyenne_gamme
248,1759,0,0.5,1,9,0,58,0.2,101,2,12,510,615,3428,17,0,9,1,1,0,moyenne_gamme
256,930,0,1.0,1,5,1,40,0.8,128,7,15,775,1224,3816,13,0,2,1,1,1,moyenne_gamme
260,1972,0,2.2,1,4,1,5,0.9,95,3,19,955,1781,625,10,1,10,1,1,1,moyenne_gamme
264,560,1,2.1,0,11,1,37,0.6,121,4,14,237,551,3278,15,9,7,1,1,0,moyenne_gamme
265,1981,1,1.6,1,10,0,34,0.1,117,5,20,929,1552,3764,11,4,14,1,0,1,moyenne_gamme
267,1396,1,0.8,1,7,1,10,0.3,108,4,16,646,1721,3881,13,0,9,1,1,1,moyenne_gamme
269,1692,0,2.2,0,5,1,11,0.1,151,3,7,1256,1386,524,5,2,10,1,1,0,moyenne_gamme
275,1367,1,0.9,0,2,1,58,0.6,184,4,20,721,1210,3946,16,9,9,1,0,0,moyenne_gamme
277,1744,1,0.9,1,5,1,35,0.3,137,7,9,915,1554,656,17,4,7,1,0,0,moyenne_gamme
278,1086,0,2.5,0,11,0,7,0.5,116,6,14,635,1839,3297,18,0,16,1,0,0,moyenne_gamme
281,1714,0,1.6,1,9,1,59,0.5,186,8,19,991,1274,2546,18,10,11,1,1,1,moyenne_gamme
282,1395,1,0.6,0,5,0,38,0.3,167,6,16,896,1501,915,5,4,6,1,1,0,moyenne_gamme
285,669,1,2.6,1,18,1,10,0.6,171,5,20,1300,1834,2801,6,2,10,1,0,0,moyenne_gamme
286,1423,1,2.1,0,1,0,51,0.8,178,4,18,633,1371,3331,8,2,8,1,1,0,moyenne_gamme
288,1621,1,0.6,1,14,0,59,0.7,160,7,16,213,1120,2706,12,3,20,1,0,0,moyenne_gamme
290,1934,0,2.7,0,9,1,48,0.1,128,4,18,475,853,3370,7,6,2,1,0,1,moyenne_gamme
300,768,1,0.5,1,1,0,45,0.1,175,4,16,1164,1376,3947,6,1,12,1,1,0,moyenne_gamme
301,1856,1,1.9,1,9,1,15,0.5,160,3,14,450,714,1514,7,1,13,1,1,0,moyenne_gamme
302,900,1,0.5,0,11,1,64,0.7,149,4,12,164,708,942,13,5,2,1,1,0,moyenne_gamme
307,996,0,0.5,1,14,0,61,0.8,174,7,15,400,989,1235,11,10,16,1,1,1,moyenne_gamme
308,1175,0,3.0,1,12,1,40,0.1,172,5,18,812,1251,1507,15,14,18,1,1,0,moyenne_gamme
309,1773,0,0.5,1,7,0,33,0.3,143,5,13,831,1170,1994,16,9,20,1,0,0,moyenne_gamme
310,1263,0,2.4,1,11,1,54,0.6,100,5,14,12,1857,458,12,5,15,1,0,0,moyenne_gamme
311,1956,0,1.2,1,10,1,5,0.8,156,4,11,870,1753,2130,7,3,10,1,1,1,moyenne_gamme
312,992,0,1.6,1,10,0,27,0.3,162,4,14,106,767,3894,15,9,13,1,0,1,moyenne_gamme
314,1979,0,0.5,1,15,0,54,0.3,136,3,19,669,1311,3151,12,1,20,1,1,1,moyenne_gamme
325,1269,0,1.5,1,1,0,51,0.7,180,4,19,410,1782,827,15,6,12,1,1,0,moyenne_gamme
326,1526,1,1.2,0,7,1,32,0.5,128,4,12,1152,1592,647,19,3,18,1,0,1,moyenne_gamme
327,986,0,0.7,1,7,1,16,0.4,144,8,9,234,628,300,8,5,7,1,0,1,moyenne_gamme
338,1764,0,2.7,0,11,1,48,0.9,90,7,17,444,581,1589,19,10,20,1,1,1,moyenne_gamme
342,743,0,0.5,0,9,1,53,0.3,149,2,10,670,1070,2938,9,3,13,1,1,1,moyenne_gamme
343,1850,0,2.2,1,9,0,41,0.8,133,8,13,27,518,3032,8,1,10,1,1,1,moyenne_gamme
345,1706,0,1.8,1,10,1,44,0.2,137,5,13,716,1440,3238,5,3,20,1,0,0,moyenne_gamme
346,1967,0,0.5,0,11,1,23,0.6,135,5,16,931,1726,325,16,0,3,1,0,1,moyenne_gamme
350,1829,0,0.5,0,2,1,54,0.6,98,3,20,383,1160,1634,7,0,12,1,0,0,moyenne_gamme
353,706,0,0.5,1,10,1,4,0.8,190,5,18,204,966,3735,12,7,20,1,1,1,moyenne_gamme
355,1137,1,0.8,0,3,1,7,1.0,122,3,18,537,620,946,13,4,7,1,0,1,moyenne_gamme
356,1320,1,0.5,1,11,1,6,0.2,164,1,14,1034,1836,1626,11,9,14,1,0,1,moyenne_gamme
359,929,1,0.5,1,7,1,13,1.0,146,7,8,213,1714,1704,15,2,5,1,0,0,moyenne_gamme
361,1739,0,2.6,0,9,0,39,0.5,135,8,10,86,1957,1882,13,12,8,1,1,0,moyenne_gamme
363,1388,0,1.4,1,4,1,31,0.6,184,1,14,1338,1443,346,8,2,12,1,0,0,moyenne_gamme
365,569,0,0.5,1,1,1,53,1.0,170,8,20,457,1555,1243,17,10,10,1,1,0,moyenne_gamme
370,1603,1,0.5,1,8,1,37,1.0,95,8,9,1430,1622,1748,15,10,5,1,1,0,moyenne_gamme
376,546,0,1.8,1,6,1,55,0.9,100,6,12,493,1477,628,12,3,10,1,1,1,moyenne_gamme
379,567,0,1.4,1,14,0,60,0.1,111,2,15,152,1326,1150,17,16,4,1,0,1,moyenne_gamme
380,1967,1,2.6,1,4,0,62,1.0,91,8,10,1355,1850,2839,13,7,10,1,0,0,moyenne_gamme
381,1658,0,2.0,1,8,1,61,0.1,180,3,20,443,1100,2857,7,1,5,1,0,1,moyenne_gamme
384,788,0,1.6,1,6,1,52,0.1,96,1,20,530,1436,1941,14,0,19,1,1,0,moyenne_gamme
386,950,1,1.6,0,5,1,41,0.5,188,3,20,193,727,2932,10,7,20,1,0,0,moyenne_gamme
389,1197,0,2.9,0,6,1,38,0.1,83,6,17,1516,1910,3525,13,9,16,1,0,0,moyenne_gamme
390,1006,1,2.5,1,9,0,14,0.7,186,1,12,348,640,1955,17,6,9,1,1,0,moyenne_gamme
392,1262,0,1.4,1,7,1,64,0.1,116,7,16,37,1018,3060,5,1,4,1,1,1,moyenne_gamme
393,560,0,1.3,1,13,0,29,1.0,160,1,19,906,1189,2832,16,1,7,1,0,0,moyenne_gamme
394,904,0,2.4,0,5,1,55,0.6,158,4,13,529,764,2008,6,1,16,1,0,0,moyenne_gamme
397,687,0,0.6,1,13,1,14,0.4,185,2,16,721,1620,1580,19,4,19,1,1,1,moyenne_gamme
398,863,0,2.9,0,11,1,52,0.8,119,6,13,1060,1547,1345,7,0,20,1,0,0,moyenne_gamme
402,1283,0,0.5,1,6,0,48,0.5,176,6,9,880,964,1182,11,8,17,1,1,0,moyenne_gamme
403,817,1,1.0,1,13,1,40,0.8,140,4,17,1180,1790,436,19,6,14,1,0,1,moyenne_gamme
404,804,0,2.6,1,2,0,49,0.6,105,1,18,638,939,2256,16,1,7,1,0,1,moyenne_gamme
406,1177,0,0.5,0,5,1,2,0.9,141,7,12,490,793,715,19,5,4,1,0,0,moyenne_gamme
407,1765,1,2.0,0,7,0,18,0.9,85,4,8,791,1580,1199,7,4,10,1,0,0,moyenne_gamme
408,1997,0,2.1,0,10,1,60,0.7,84,8,16,1130,1687,788,17,15,8,1,0,1,moyenne_gamme
424,1042,1,0.5,1,11,0,13,0.1,148,3,20,98,569,1715,17,7,7,1,1,1,moyenne_gamme
425,916,1,1.1,1,5,1,44,0.9,116,3,16,893,1132,2367,8,5,7,1,0,1,moyenne_gamme
428,1234,0,2.1,1,4,1,44,0.4,107,3,17,797,1054,2819,13,3,8,1,0,1,moyenne_gamme
430,583,0,0.5,0,9,1,33,0.9,136,5,18,1673,1774,3236,12,9,13,1,0,0,moyenne_gamme
431,1598,1,1.0,1,8,1,49,0.5,115,2,14,537,1233,1313,12,2,7,1,1,0,moyenne_gamme
432,1988,1,2.8,1,3,0,34,0.4,163,3,16,1221,1981,2872,7,6,20,1,1,1,moyenne_gamme
434,907,1,2.7,0,8,0,53,0.7,156,2,13,10,1881,3469,8,5,12,1,0,0,moyenne_gamme
443,1086,0,0.5,0,10,0,35,0.6,125,7,17,577,1296,421,7,5,6,1,0,1,moyenne_gamme
446,1235,0,1.5,0,3,0,33,0.1,164,8,16,633,1891,1623,10,3,20,1,1,1,moyenne_gamme
448,650,1,1.5,0,12,0,48,0.8,187,4,14,986,1291,1622,8,6,19,1,1,1,moyenne_gamme
451,853,1,1.9,1,17,1,26,0.5,94,6,18,114,817,3069,19,17,20,1,0,0,moyenne_gamme
453,583,1,1.1,1,15,0,24,0.4,168,2,19,301,1111,3260,14,6,14,1,1,0,moyenne_gamme
455,683,1,1.9,1,16,1,56,0.1,190,1,17,144,585,592,17,9,3,1,0,0,moyenne_gamme
461,1577,1,1.5,0,16,1,3,0.7,180,8,17,523,573,3116,13,6,16,1,1,0,moyenne_gamme
462,1234,0,2.9,0,8,1,44,0.8,129,1,12,1783,1891,2440,7,4,19,1,1,0,moyenne_gamme
465,1439,1,1.2,0,11,1,58,0.2,183,1,20,794,1552,3069,17,11,2,1,1,0,moyenne_gamme
466,983,1,1.6,0,7,1,55,0.4,168,8,8,205,963,1425,14,0,4,1,1,0,moyenne_gamme
467,1988,0,2.5,0,7,1,63,0.6,153,4,11,615,937,2276,13,7,11,1,0,0,moyenne_gamme
468,1692,0,1.3,1,0,1,25,0.7,149,3,12,1111,1898,3192,9,4,3,1,1,1,moyenne_gamme
474,1031,1,0.5,1,2,1,31,0.1,82,8,19,737,1404,2305,10,4,4,1,1,0,moyenne_gamme
475,875,0,1.0,0,14,0,37,0.6,151,7,20,1289,1668,2985,6,1,9,1,1,1,moyenne_gamme
476,1341,0,1.0,0,5,1,40,0.2,128,5,12,1434,1700,265,19,3,3,1,1,1,moyenne_gamme
479,1703,0,1.6,0,16,1,43,1.0,139,8,17,178,1972,585,13,11,17,1,1,1,moyenne_gamme
484,1487,0,0.6,0,18,1,6,0.8,191,4,19,665,1072,3259,11,9,13,1,0,1,moyenne_gamme
486,511,1,0.7,0,12,1,43,0.4,120,4,15,1291,1583,3370,16,5,6,1,0,0,moyenne_gamme
490,1257,0,1.8,0,3,1,31,0.6,155,5,10,1006,1533,2014,15,8,12,1,0,0,moyenne_gamme
491,926,0,2.7,1,0,1,29,0.7,118,5,18,349,1594,2709,5,4,18,1,0,1,moyenne_gamme
494,1812,0,0.9,1,9,0,44,0.2,197,3,16,299,1212,3814,9,6,13,1,1,0,moyenne_gamme
504,795,0,0.5,1,4,1,55,0.3,155,3,11,226,1737,3030,12,8,17,1,1,0,moyenne_gamme
512,1391,0,1.5,1,6,1,39,0.9,88,3,18,491,1737,2367,18,11,12,1,1,0,moyenne_gamme
514,1863,0,1.0,1,5,1,16,0.4,113,2,19,261,684,990,6,5,13,1,0,0,moyenne_gamme
516,1789,1,1.8,1,6,1,36,0.5,123,6,11,418,1740,815,5,0,9,1,1,0,moyenne_gamme
521,769,1,0.6,1,19,1,52,0.7,118,4,20,263,1786,431,15,4,19,1,0,0,moyenne_gamme
525,1021,0,2.1,1,6,1,47,0.3,173,6,18,224,1360,2215,13,12,2,1,1,1,moyenne_gamme
535,1096,0,1.2,1,3,0,40,0.6,113,4,13,614,1757,2931,10,8,14,1,0,0,moyenne_gamme
536,906,0,3.0,0,10,1,14,0.5,83,8,15,176,641,1761,17,11,12,1,1,0,moyenne_gamme
538,1435,1,0.5,1,10,1,62,0.1,150,4,14,453,664,369,8,1,4,1,0,1,moyenne_gamme
540,1995,0,2.6,1,2,1,4,0.8,171,2,20,1133,1972,3452,6,3,19,1,1,0,moyenne_gamme
541,1813,0,1.8,1,10,1,28,0.5,159,2,14,1655,1899,981,15,14,14,1,0,1,moyenne_gamme
548,1733,1,1.9,1,14,0,28,0.8,104,3,15,749,1203,2246,18,6,12,1,1,0,moyenne_gamme
550,964,1,3.0,1,3,1,48,0.9,131,6,13,829,1154,1597,15,7,18,1,1,1,moyenne_gamme
555,797,0,1.4,1,0,1,9,0.1,104,1,14,1515,1812,1043,13,11,13,1,1,0,moyenne_gamme
559,983,1,1.5,0,1,0,22,0.1,170,4,20,1542,1765,1694,19,15,8,1,0,1,moyenne_gamme
560,1457,0,0.5,1,7,0,8,0.3,120,7,13,786,1032,584,13,4,10,1,0,0,moyenne_gamme
564,1919,0,0.6,1,11,1,63,0.9,109,8,20,771,1829,2205,9,4,8,1,1,0,moyenne_gamme
566,664,1,2.9,0,10,1,40,0.1,173,5,15,1002,1260,3366,8,4,5,1,1,0,moyenne_gamme
568,1319,0,2.0,1,9,1,28,0.8,178,1,19,1080,1886,3095,7,1,17,1,1,1,moyenne_gamme
571,654,1,1.3,1,11,0,5,0.7,199,4,14,208,1975,3801,14,13,9,1,1,1,moyenne_gamme
573,1688,0,0.9,1,7,1,53,0.3,88,6,16,598,695,2156,5,4,20,1,1,0,moyenne_gamme
579,1749,0,1.1,0,9,0,57,0.6,183,3,15,415,589,786,8,1,9,1,1,1,moyenne_gamme
581,1506,1,2.9,1,19,1,47,0.6,130,7,20,126,1150,1522,5,1,3,1,0,0,moyenne_gamme
582,1887,0,2.1,0,0,0,23,0.5,148,4,20,837,1504,1811,18,16,11,1,1,0,moyenne_gamme
584,1422,1,2.8,0,7,0,30,0.5,99,6,14,207,1038,2229,15,5,15,1,0,1,moyenne_gamme
585,709,0,1.9,1,10,0,63,0.3,150,4,14,345,601,1509,7,2,7,1,1,0,moyenne_gamme
588,763,0,1.2,1,4,1,59,0.6,119,1,17,724,737,2863,18,3,17,1,0,1,moyenne_gamme
590,1045,0,1.5,1,5,0,25,0.3,83,2,10,440,1730,2267,18,4,4,1,1,1,moyenne_gamme
593,868,1,2.8,0,4,1,36,0.2,175,7,13,123,1735,1655,12,10,5,1,0,0,moyenne_gamme
599,529,1,1.4,1,13,1,32,0.7,139,2,17,797,878,1561,12,0,3,1,1,1,moyenne_gamme
600,1203,1,1.7,0,8,1,20,0.7,157,3,17,1153,1688,2307,7,5,11,1,0,1,moyenne_gamme
601,768,1,2.5,0,10,0,13,0.2,133,4,18,520,575,1921,8,2,16,1,0,1,moyenne_gamme
609,1894,1,0.5,1,10,0,16,0.1,172,3,20,1634,1937,1021,18,17,16,1,1,0,moyenne_gamme
610,1383,0,1.7,0,11,1,40,0.1,147,6,19,487,507,2510,18,9,19,1,1,0,moyenne_gamme
615,942,1,2.5,0,6,0,11,0.5,196,5,19,451,1310,1783,7,5,18,1,1,1,moyenne_gamme
616,558,1,2.2,0,5,1,24,0.1,169,4,16,447,804,482,12,4,4,1,1,0,moyenne_gamme
617,1733,0,1.6,1,9,0,56,0.5,111,6,15,633,1649,3352,6,5,9,1,0,0,moyenne_gamme
619,880,0,0.5,1,7,1,32,0.5,141,4,17,346,739,1141,19,17,20,1,1,1,moyenne_gamme
622,1273,0,0.5,1,6,1,47,0.2,98,1,12,685,1352,303,11,2,14,1,0,0,moyenne_gamme
624,1567,1,1.3,0,8,0,45,0.6,99,4,12,870,1020,927,19,9,12,1,1,1,moyenne_gamme
625,914,1,1.7,1,6,0,36,1.0,128,2,13,1032,1822,786,19,8,13,1,0,1,moyenne_gamme
627,873,1,0.5,0,4,1,30,0.2,175,6,18,237,1531,3655,15,13,15,1,0,0,moyenne_gamme
640,761,0,1.3,0,15,1,37,0.9,174,8,16,867,1978,2270,9,1,4,1,1,0,moyenne_gamme
644,968,1,0.9,0,10,1,26,0.5,88,5,14,954,1159,3381,14,5,10,1,0,1,moyenne_gamme
650,1157,1,2.8,1,16,0,19,0.5,87,8,18,137,1154,1403,6,1,4,1,1,1,moyenne_gamme
651,519,0,0.6,1,7,1,45,0.1,186,7,11,1248,1733,1580,12,10,12,1,0,1,moyenne_gamme
654,936,0,2.7,0,2,1,38,0.6,122,1,17,766,1263,2826,19,15,10,1,0,0,moyenne_gamme
657,794,1,2.7,0,2,1,3,0.3,127,2,18,1559,1729,1141,18,6,3,1,0,1,moyenne_gamme
662,1515,0,2.2,0,9,0,36,0.1,118,3,10,796,1692,3546,7,6,10,1,1,1,moyenne_gamme
664,529,1,2.3,0,3,1,58,1.0,197,2,18,658,1294,873,11,5,4,1,1,0,moyenne_gamme
665,1887,0,1.7,0,6,1,41,0.9,81,8,15,939,973,1664,19,14,14,1,0,0,moyenne_gamme
666,876,0,2.7,0,12,1,41,0.3,92,7,16,140,512,3334,16,3,14,1,0,1,moyenne_gamme
667,687,1,2.0,1,13,1,56,0.8,131,7,19,580,736,569,18,1,6,1,1,1,moyenne_gamme
669,1637,1,1.7,1,5,1,33,0.4,118,6,16,1375,1474,3693,7,3,8,1,0,0,moyenne_gamme
675,703,0,1.3,1,6,1,18,0.1,178,1,9,1182,1697,355,8,6,3,1,1,1,moyenne_gamme
683,524,0,0.9,1,8,1,10,0.1,85,7,14,287,655,625,6,0,4,1,1,1,moyenne_gamme
686,1012,1,2.2,1,10,1,8,1.0,181,3,12,1176,1496,2141,18,14,15,1,1,0,moyenne_gamme
687,823,0,2.5,0,11,1,24,0.5,195,5,15,1364,1516,2279,6,4,3,1,0,1,moyenne_gamme
688,1928,0,0.5,1,5,0,44,0.9,109,8,19,701,1156,3828,9,4,12,1,0,0,moyenne_gamme
689,804,0,1.5,0,5,1,12,1.0,183,1,10,1805,1978,2310,10,8,13,1,0,0,moyenne_gamme
691,1500,0,2.8,1,7,0,39,0.1,176,8,11,808,1889,1988,10,6,10,1,0,0,moyenne_gamme
694,1886,0,3.0,0,13,1,26,0.5,115,1,17,339,1670,1828,5,3,15,1,1,0,moyenne_gamme
697,1352,0,0.5,1,8,1,22,0.9,111,2,12,346,682,1562,16,5,11,1,0,0,moyenne_gamme
701,1180,0,2.3,1,7,1,24,0.2,198,2,16,486,1671,2025,8,0,19,1,0,0,moyenne_gamme
702,886,1,0.9,1,13,1,2,0.6,102,4,15,287,695,621,11,4,7,1,1,0,moyenne_gamme
703,1309,0,1.5,0,9,1,12,0.9,98,6,20,871,1484,293,15,0,9,1,1,0,moyenne_gamme
709,1296,1,1.0,1,6,0,43,0.2,171,3,13,501,609,1692,15,0,18,1,0,0,moyenne_gamme
710,1256,0,0.5,0,15,1,51,0.6,83,2,18,436,1308,2213,13,9,12,1,1,0,moyenne_gamme
713,652,1,2.9,1,4,1,14,0.2,196,6,18,248,1487,1706,12,4,5,1,0,0,moyenne_gamme
